iter	Logloss
0	0.6691099276
1	0.648168153
2	0.6322970707
3	0.61641733
4	0.6004292842
5	0.5868203321
6	0.5757353195
7	0.5636398254
8	0.5532958398
9	0.544818327
10	0.5362669713
11	0.528826494
12	0.5216074151
13	0.5146002376
14	0.5109990891
15	0.5058688271
16	0.5010273486
17	0.4955626465
18	0.4912417325
19	0.4861272445
20	0.4817506002
21	0.4775730255
22	0.4744980862
23	0.472169216
24	0.468570056
25	0.4662250862
26	0.4632149482
27	0.4603024263
28	0.4577591007
29	0.4554181614
30	0.4522914625
31	0.4496799009
32	0.4474535544
33	0.4459875852
34	0.4432032717
35	0.4420978848
36	0.4408843268
37	0.4396922601
38	0.4372570209
39	0.4356328138
40	0.4338607654
41	0.4324105079
42	0.4313104889
43	0.4303137758
44	0.428617749
45	0.4268658971
46	0.4253635584
47	0.4240161744
48	0.4226256733
49	0.4223062328
50	0.4209371949
51	0.4198167101
52	0.4182523055
53	0.4167918862
54	0.4155476482
55	0.4131232023
56	0.41166929
57	0.4104639632
58	0.4095942141
59	0.4086565196
60	0.4064879524
61	0.4060630085
62	0.4050288688
63	0.4041562595
64	0.4033586263
65	0.402061804
66	0.4006380683
67	0.3986048618
68	0.3972410176
69	0.3961580802
70	0.3954467807
71	0.3944085322
72	0.3934048001
73	0.3928815797
74	0.392348994
75	0.3919152225
76	0.3913317326
77	0.3910603372
78	0.3904494328
79	0.3885634001
80	0.3879868933
81	0.3872799083
82	0.3863511472
83	0.3847414252
84	0.3838582136
85	0.3827531601
86	0.3822417551
87	0.3808917504
88	0.3807018429
89	0.3802277744
90	0.3796627338
91	0.3790849427
92	0.3783838356
93	0.3774394884
94	0.3765675066
95	0.3760343805
96	0.3743853006
97	0.3738262767
98	0.3731502659
99	0.372117469
100	0.3713381287
101	0.3707336053
102	0.3704182931
103	0.3693307661
104	0.368670393
105	0.368314825
106	0.3678722256
107	0.3674379043
108	0.3664598487
109	0.3661121352
110	0.3644747979
111	0.3639518314
112	0.3632121157
113	0.3629552863
114	0.3618547686
115	0.361268298
116	0.3603548446
117	0.3594947479
118	0.3591523808
119	0.3579079902
120	0.3571535214
121	0.3565178233
122	0.3556465019
123	0.3548382798
124	0.3545946453
125	0.3539049976
126	0.3531808428
127	0.3525911699
128	0.3518354647
129	0.3513391358
130	0.3509055552
131	0.3501053289
132	0.3498633483
133	0.3492103588
134	0.3487427722
135	0.3482046645
136	0.3475285039
137	0.3466897848
138	0.3463536757
139	0.3456733574
140	0.3450243894
141	0.344306038
142	0.3440217385
143	0.3436120449
144	0.3431864858
145	0.3429444142
146	0.3423900173
147	0.3417070935
148	0.3413648643
149	0.3405547407
150	0.3396219299
151	0.3385959887
152	0.3382104256
153	0.3379217277
154	0.3372308256
155	0.33652756
156	0.3362208765
157	0.3354182061
158	0.3346300752
159	0.3340813119
160	0.3335254271
161	0.3327823757
162	0.3324736476
163	0.331795549
164	0.3311918753
165	0.3303419148
166	0.3297046587
167	0.3289252745
168	0.3288551075
169	0.328590912
170	0.3279580026
171	0.3274530221
172	0.3270088864
173	0.3267541974
174	0.3257657998
175	0.3247716288
176	0.3241586729
177	0.3237343877
178	0.3232539305
179	0.3227078149
180	0.3220856615
181	0.3215276465
182	0.3209335852
183	0.3202246651
184	0.3198978523
185	0.3196163548
186	0.31920462
187	0.3184831063
188	0.3181834175
189	0.3171736631
190	0.3168249336
191	0.3158709952
192	0.3150843481
193	0.3149848313
194	0.3149229466
195	0.3143158865
196	0.3137283862
197	0.3133131852
198	0.3131753272
199	0.3123844212
200	0.3121940508
201	0.3116160109
202	0.3109622005
203	0.3106504689
204	0.3097076639
205	0.308949396
206	0.3081588125
207	0.3075322901
208	0.3070247
209	0.3066674377
210	0.3064652904
211	0.3059768728
212	0.3055804295
213	0.3052849696
214	0.3049468245
215	0.3049053506
216	0.3046389071
217	0.3038499004
218	0.3029153485
219	0.302495016
220	0.301824474
221	0.3014337526
222	0.3008453777
223	0.3001531157
224	0.2995314446
225	0.2987205473
226	0.2979126095
227	0.2974786844
228	0.2971227674
229	0.2966419015
230	0.2961960252
231	0.2955360182
232	0.2946064479
233	0.2940293478
234	0.2934570155
235	0.2926212122
236	0.292000801
237	0.2912611146
238	0.2907287533
239	0.2901268488
240	0.2893978425
241	0.2886585792
242	0.2886147993
243	0.2879624516
244	0.2875601858
245	0.2869867613
246	0.2863898246
247	0.2861509492
248	0.2853001613
249	0.2846331318
250	0.2841945902
251	0.2837056662
252	0.2831246453
253	0.2826445938
254	0.2821046116
255	0.2813216567
256	0.2807393147
257	0.2802620851
258	0.2795690553
259	0.2794346547
260	0.2789970157
261	0.2785323593
262	0.2785046576
263	0.2780668186
264	0.2776343222
265	0.2771527575
266	0.2764797455
267	0.2756611021
268	0.2747911801
269	0.274177217
270	0.27367391
271	0.2729961569
272	0.272539578
273	0.2720420355
274	0.2714399082
275	0.2709098841
276	0.2699041359
277	0.2692971636
278	0.2687380644
279	0.268372829
280	0.267650192
281	0.2674358897
282	0.2668855445
283	0.2663566219
284	0.2655833045
285	0.2649493236
286	0.2643699438
287	0.2640651089
288	0.2635077011
289	0.2629270094
290	0.2625222871
291	0.2620811658
292	0.2619505931
293	0.2616428169
294	0.2611574462
295	0.260855851
296	0.2604621709
297	0.2603152983
298	0.259603721
299	0.2593407331
