iter	Passed	Remaining
0	7	2325
1	13	2024
2	19	1893
3	22	1689
4	28	1684
5	34	1691
6	40	1687
7	46	1683
8	52	1689
9	55	1616
10	61	1614
11	67	1618
12	73	1619
13	78	1613
14	85	1624
15	91	1624
16	95	1597
17	101	1595
18	108	1598
19	111	1566
20	117	1564
21	123	1565
22	130	1565
23	135	1563
24	141	1561
25	147	1557
26	153	1554
27	159	1550
28	165	1546
29	171	1541
30	176	1535
31	182	1531
32	188	1526
33	194	1521
34	200	1517
35	206	1512
36	212	1509
37	218	1506
38	224	1502
39	230	1496
40	236	1491
41	242	1487
42	247	1481
43	253	1475
44	259	1470
45	265	1465
46	271	1460
47	277	1455
48	283	1451
49	289	1446
50	295	1442
51	301	1437
52	307	1433
53	313	1426
54	319	1421
55	324	1415
56	330	1409
57	336	1403
58	342	1397
59	348	1392
60	354	1387
61	360	1382
62	365	1376
63	371	1370
64	377	1365
65	384	1361
66	390	1356
67	396	1351
68	401	1345
69	407	1339
70	413	1333
71	419	1328
72	425	1321
73	430	1315
74	436	1310
75	442	1304
76	448	1298
77	453	1292
78	459	1286
79	465	1280
80	471	1274
81	477	1269
82	483	1265
83	489	1259
84	495	1253
85	501	1247
86	507	1242
87	513	1236
88	518	1230
89	524	1223
90	530	1217
91	536	1211
92	541	1206
93	547	1200
94	553	1194
95	559	1187
96	564	1181
97	570	1174
98	575	1168
99	581	1162
100	587	1156
101	593	1151
102	598	1145
103	604	1139
104	610	1133
105	616	1128
106	622	1123
107	628	1116
108	633	1110
109	639	1105
110	645	1099
111	651	1093
112	657	1087
113	663	1082
114	669	1077
115	675	1071
116	681	1065
117	687	1059
118	693	1054
119	699	1048
120	704	1042
121	710	1037
122	716	1031
123	722	1025
124	728	1019
125	734	1014
126	740	1008
127	745	1002
128	751	996
129	757	991
130	763	985
131	769	979
132	775	973
133	781	968
134	787	962
135	793	956
136	798	950
137	804	944
138	810	939
139	816	933
140	822	927
141	828	921
142	834	916
143	840	910
144	846	904
145	853	899
146	863	898
147	868	892
148	874	886
149	880	880
150	886	875
151	893	869
152	898	863
153	904	857
154	910	851
155	916	845
156	922	839
157	927	833
158	933	828
159	939	822
160	945	816
161	951	810
162	957	804
163	963	799
164	969	793
165	975	787
166	981	781
167	987	775
168	993	769
169	999	764
170	1005	758
171	1011	752
172	1015	745
173	1021	739
174	1027	733
175	1033	727
176	1038	721
177	1044	716
178	1050	710
179	1056	704
180	1062	698
181	1068	692
182	1074	686
183	1080	681
184	1086	675
185	1092	669
186	1098	663
187	1104	657
188	1109	651
189	1115	645
190	1121	639
191	1127	634
192	1132	628
193	1138	622
194	1144	616
195	1150	610
196	1156	604
197	1162	598
198	1168	593
199	1174	587
200	1181	581
201	1186	575
202	1193	570
203	1199	564
204	1205	558
205	1211	552
206	1216	546
207	1222	540
208	1228	534
209	1234	528
210	1240	523
211	1246	517
212	1252	511
213	1258	505
214	1264	499
215	1270	494
216	1275	488
217	1282	482
218	1288	476
219	1294	470
220	1300	464
221	1306	458
222	1311	452
223	1317	447
224	1323	441
225	1329	435
226	1335	429
227	1341	423
228	1348	417
229	1354	412
230	1360	406
231	1366	400
232	1372	394
233	1378	388
234	1384	383
235	1390	377
236	1396	371
237	1402	365
238	1408	359
239	1414	353
240	1420	347
241	1426	341
242	1432	335
243	1438	330
244	1444	324
245	1450	318
246	1456	312
247	1462	306
248	1468	300
249	1473	294
250	1479	288
251	1485	282
252	1491	277
253	1497	271
254	1503	265
255	1508	259
256	1514	253
257	1520	247
258	1526	241
259	1532	235
260	1538	229
261	1543	223
262	1551	218
263	1557	212
264	1563	206
265	1569	200
266	1574	194
267	1580	188
268	1586	182
269	1591	176
270	1597	170
271	1603	165
272	1609	159
273	1614	153
274	1620	147
275	1626	141
276	1631	135
277	1637	129
278	1643	123
279	1649	117
280	1655	111
281	1661	106
282	1667	100
283	1673	94
284	1679	88
285	1685	82
286	1691	76
287	1697	70
288	1703	64
289	1710	58
290	1716	53
291	1722	47
292	1728	41
293	1734	35
294	1740	29
295	1746	23
296	1752	17
297	1757	11
298	1764	5
299	1769	0
