epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.693,2.26197,2.40044,1.45508,0.28301,0.34132,0.18282,0.06959,1.99528,2.58618,1.40968,0.000653846,0.000653846,0.000653846
2,817.304,2.02891,1.75784,1.35347,0.39503,0.31582,0.31927,0.12371,2.01017,2.26321,1.44382,0.00129437,0.00129437,0.00129437
3,1216.71,2.03209,1.75294,1.33989,0.39715,0.48523,0.39152,0.14816,1.94241,1.82458,1.36031,0.00190849,0.00190849,0.00190849
4,1616.27,1.98771,1.66965,1.32836,0.37838,0.46812,0.36626,0.14349,1.88988,1.98334,1.33427,0.0018812,0.0018812,0.0018812
5,2095.26,1.94871,1.63276,1.308,0.45397,0.46812,0.44872,0.16946,2.05255,1.807,1.44478,0.0018416,0.0018416,0.0018416
6,2581.9,1.97099,1.62741,1.30395,0.3117,0.39159,0.26368,0.09497,2.12656,2.03636,1.30212,0.001802,0.001802,0.001802
7,3073.37,1.93146,1.58135,1.29572,0.50468,0.43857,0.43831,0.17015,2.09529,1.78006,1.44932,0.0017624,0.0017624,0.0017624
8,3566.49,1.91613,1.55246,1.28291,0.50437,0.54432,0.53683,0.24089,1.82458,1.60734,1.28777,0.0017228,0.0017228,0.0017228
9,4051.79,1.90523,1.54901,1.2836,0.40824,0.4168,0.36715,0.146,1.96164,2.00705,1.34798,0.0016832,0.0016832,0.0016832
10,4535.69,1.89318,1.54401,1.28656,0.45302,0.47013,0.46948,0.18193,1.95677,1.68014,1.30864,0.0016436,0.0016436,0.0016436
11,5017.32,1.89902,1.50853,1.26364,0.46765,0.51477,0.47055,0.20736,1.85291,1.67654,1.34379,0.001604,0.001604,0.001604
12,5498.95,1.896,1.52989,1.28011,0.48891,0.54277,0.51353,0.2144,1.86463,1.804,1.29273,0.0015644,0.0015644,0.0015644
13,5986.43,1.87605,1.51102,1.28312,0.49204,0.46852,0.45977,0.19311,1.84264,1.66808,1.319,0.0015248,0.0015248,0.0015248
14,6465.73,1.85391,1.48823,1.26084,0.51015,0.51633,0.53976,0.2493,1.78874,1.63682,1.27161,0.0014852,0.0014852,0.0014852
15,6926.96,1.84548,1.46948,1.25498,0.57237,0.55832,0.57057,0.24807,1.79803,1.69575,1.28213,0.0014456,0.0014456,0.0014456
16,7385.1,1.83612,1.4348,1.23841,0.55227,0.55988,0.56181,0.25031,1.82661,1.54405,1.30348,0.001406,0.001406,0.001406
17,7843.68,1.84945,1.43496,1.24122,0.50674,0.49922,0.51548,0.235,1.80087,1.69786,1.27929,0.0013664,0.0013664,0.0013664
18,9057.51,1.82464,1.42252,1.24425,0.57855,0.52306,0.55457,0.2468,1.81344,1.53995,1.26735,0.0013268,0.0013268,0.0013268
19,9598.25,1.81685,1.39205,1.23367,0.54702,0.52774,0.53343,0.23249,1.81801,1.57026,1.27394,0.0012872,0.0012872,0.0012872
20,10148.5,1.80605,1.39835,1.24576,0.5206,0.48523,0.49179,0.20855,1.89515,1.65307,1.27681,0.0012476,0.0012476,0.0012476
21,10710.1,1.80676,1.39764,1.23904,0.53771,0.58609,0.56385,0.25536,1.84205,1.52588,1.29735,0.001208,0.001208,0.001208
22,11255.8,1.81386,1.37839,1.24144,0.5075,0.52877,0.53375,0.23287,1.87736,1.56557,1.30337,0.0011684,0.0011684,0.0011684
23,11801.8,1.79955,1.39072,1.23004,0.60911,0.51322,0.58149,0.26081,1.78286,1.52376,1.27973,0.0011288,0.0011288,0.0011288
24,12379.2,1.79658,1.37594,1.23455,0.59703,0.5622,0.59338,0.27338,1.78554,1.43952,1.27414,0.0010892,0.0010892,0.0010892
25,12931.8,1.79491,1.35771,1.23394,0.59138,0.5447,0.5915,0.25911,1.82882,1.47983,1.30058,0.0010496,0.0010496,0.0010496
26,13476.4,1.76935,1.33283,1.21146,0.58638,0.52033,0.5696,0.25475,1.82727,1.49251,1.27795,0.00101,0.00101,0.00101
27,14017.1,1.78565,1.3488,1.22026,0.5723,0.5369,0.54429,0.24843,1.82653,1.58315,1.29705,0.0009704,0.0009704,0.0009704
28,14459.3,1.7889,1.33638,1.2312,0.61204,0.60498,0.60772,0.27227,1.77507,1.52225,1.27095,0.0009308,0.0009308,0.0009308
29,14898.7,1.75853,1.3029,1.21369,0.54552,0.53188,0.54606,0.24343,1.83994,1.55084,1.29096,0.0008912,0.0008912,0.0008912
30,15337.8,1.74794,1.29494,1.20391,0.5736,0.54277,0.58239,0.27328,1.78536,1.50206,1.28315,0.0008516,0.0008516,0.0008516
31,15775.4,1.74859,1.29638,1.21202,0.58436,0.56921,0.5941,0.26179,1.83938,1.4449,1.29484,0.000812,0.000812,0.000812
32,17441,1.76172,1.31094,1.21824,0.55229,0.55988,0.55662,0.25096,1.78834,1.528,1.25688,0.0007724,0.0007724,0.0007724
33,17888.8,1.72066,1.27048,1.20239,0.59906,0.59253,0.60449,0.26591,1.8198,1.43518,1.29694,0.0007328,0.0007328,0.0007328
34,18391.1,1.71813,1.25029,1.19436,0.59087,0.60342,0.60737,0.26653,1.82805,1.43238,1.28708,0.0006932,0.0006932,0.0006932
35,18930.8,1.73261,1.2605,1.19379,0.5854,0.58165,0.58311,0.2534,1.92906,1.43759,1.35243,0.0006536,0.0006536,0.0006536
36,19477.7,1.72675,1.26772,1.19795,0.58342,0.55832,0.56799,0.25464,1.86013,1.45779,1.31329,0.000614,0.000614,0.000614
37,20016.4,1.71711,1.24655,1.19164,0.58988,0.57698,0.60811,0.26658,1.83712,1.40992,1.28212,0.0005744,0.0005744,0.0005744
38,20553.9,1.71878,1.23558,1.18483,0.61254,0.57232,0.60933,0.28046,1.80404,1.39636,1.28915,0.0005348,0.0005348,0.0005348
39,21097.3,1.69259,1.21201,1.18821,0.61194,0.55521,0.59957,0.27808,1.80635,1.40834,1.28162,0.0004952,0.0004952,0.0004952
40,21672.2,1.70963,1.20448,1.17432,0.57469,0.55688,0.55841,0.24149,1.85968,1.4606,1.29503,0.0004556,0.0004556,0.0004556
41,22200.3,1.65878,1.23376,1.19853,0.59803,0.5972,0.61884,0.27828,1.82596,1.4067,1.28798,0.000416,0.000416,0.000416
42,22750.8,1.63861,1.19408,1.21159,0.58273,0.59565,0.60183,0.27776,1.81233,1.38695,1.2918,0.0003764,0.0003764,0.0003764
43,23285.5,1.64223,1.1682,1.20373,0.57013,0.59253,0.60145,0.27393,1.85211,1.39632,1.29239,0.0003368,0.0003368,0.0003368
44,23805.1,1.62073,1.14604,1.20586,0.59669,0.60054,0.60815,0.28127,1.81339,1.38216,1.28627,0.0002972,0.0002972,0.0002972
45,24250.4,1.61249,1.13443,1.19449,0.58508,0.58991,0.60269,0.27389,1.82722,1.38141,1.30488,0.0002576,0.0002576,0.0002576
46,24661.5,1.60901,1.13141,1.1854,0.58831,0.63116,0.62181,0.27967,1.84277,1.37067,1.29983,0.000218,0.000218,0.000218
47,25067.4,1.60724,1.10483,1.18529,0.59917,0.6184,0.61312,0.28117,1.81998,1.37815,1.29318,0.0001784,0.0001784,0.0001784
48,25474.1,1.5875,1.09713,1.18274,0.61478,0.61742,0.63387,0.28726,1.8349,1.37583,1.3055,0.0001388,0.0001388,0.0001388
49,25884.4,1.59281,1.09198,1.17173,0.61404,0.61586,0.63501,0.28568,1.82351,1.36308,1.29114,9.92e-05,9.92e-05,9.92e-05
