epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.505,0.59255,2.2903,1.18718,0.53841,0.36842,0.26461,0.21047,0.99442,6.54425,1.52644,0.00022,0.00022,0.00022
2,285.688,0.48056,1.42578,1.1327,0.12213,0.15789,0.09626,0.07994,1.03773,7.99077,1.49918,0.000455446,0.000455446,0.000455446
3,421.416,0.58523,1.37395,1.22024,0.64505,0.05263,0.07005,0.04083,2.4515,5.79412,2.73294,0.00068614,0.00068614,0.00068614
4,555.672,0.60753,1.11139,1.20284,0.06881,0.63158,0.05651,0.04746,1.22307,11.3664,1.93051,0.000912082,0.000912082,0.000912082
5,690.884,0.6672,1.21572,1.24081,0.39841,0.84211,0.61731,0.38548,1.4949,9.44121,2.83014,0.00113327,0.00113327,0.00113327
6,825.298,0.68183,1.09103,1.31913,0.0934,0.57895,0.17602,0.04081,2.08706,17.533,3.94033,0.00134971,0.00134971,0.00134971
7,960.836,0.83813,1.24345,1.36131,0.23744,0.57895,0.24409,0.1151,1.77302,9.66446,3.28944,0.0015614,0.0015614,0.0015614
8,1095.34,0.75076,1.12818,1.29428,0.52885,0.73684,0.71858,0.50131,1.36087,4.33552,3.13858,0.00176833,0.00176833,0.00176833
9,1230.15,0.81033,1.11027,1.34747,0.0472,0.36842,0.0354,0.01443,2.91853,16.906,5.83235,0.0018416,0.0018416,0.0018416
10,1364.39,0.72465,0.99381,1.27612,0.19311,0.42105,0.22115,0.05899,2.86952,13.0551,4.87612,0.0018218,0.0018218,0.0018218
11,1499.03,0.76152,1.07299,1.33169,0.13641,0.21053,0.09169,0.05265,2.29909,8.03006,3.40374,0.001802,0.001802,0.001802
12,1633.64,0.7866,1.04836,1.3021,0.56489,0.78947,0.73004,0.42811,1.6061,6.03942,2.77347,0.0017822,0.0017822,0.0017822
13,1768.06,0.79107,1.22439,1.38536,0.44153,0.47368,0.29284,0.16077,2.56983,5.9512,3.28449,0.0017624,0.0017624,0.0017624
14,5438.5,0.78635,1.07095,1.36713,0.66597,0.3149,0.25656,0.12212,2.77085,5.13259,3.59413,0.0017426,0.0017426,0.0017426
15,5614.52,0.74936,1.09822,1.29052,0.00181,0.31579,0.00128,0.00083,2.23843,221.886,3.36892,0.0017228,0.0017228,0.0017228
16,5758.77,0.70364,0.93602,1.2983,0.00372,0.47368,0.00248,0.0017,1.71126,47.1169,2.67148,0.001703,0.001703,0.001703
17,5905.97,0.80135,1.06308,1.36085,0.58244,0.73426,0.5407,0.40291,1.65474,2.10935,2.59343,0.0016832,0.0016832,0.0016832
18,6062.56,0.71388,0.97821,1.25497,0.74459,0.76785,0.72991,0.54968,1.5734,1.70175,2.7766,0.0016634,0.0016634,0.0016634
